time 1423, 936 running, numprocesses=2, numholes=2, memusage=86%
time 1425, 438 running, numprocesses=2, numholes=2, memusage=94%
time 1427, 936 running, numprocesses=2, numholes=2, memusage=86%
time 1431, 617 running, numprocesses=2, numholes=2, memusage=24%
time 1433, 438 running, numprocesses=2, numholes=2, memusage=94%
time 1437, 258 running, numprocesses=2, numholes=2, memusage=93%
time 1439, 617 running, numprocesses=2, numholes=2, memusage=24%
time 1443, 258 running, numprocesses=2, numholes=2, memusage=93%
time 1447, 210 running, numprocesses=2, numholes=2, memusage=25%
time 1449, 210 running, numprocesses=2, numholes=2, memusage=25%
time 1453, 440 running, numprocesses=1, numholes=1, memusage=99%
time 1461, 590 running, numprocesses=1, numholes=1, memusage=71%
time 1463, 590 running, numprocesses=1, numholes=1, memusage=71%
time 1467, 773 running, numprocesses=1, numholes=1, memusage=81%
time 1470, 142 running, numprocesses=1, numholes=1, memusage=1%
time 1478, 447 running, numprocesses=2, numholes=1, memusage=61%
time 1480, 113 running, numprocesses=2, numholes=1, memusage=61%
time 1482, 447 running, numprocesses=2, numholes=1, memusage=61%
time 1486, 113 running, numprocesses=2, numholes=1, memusage=61%
time 1490, 776 running, numprocesses=2, numholes=1, memusage=79%
time 1492, 837 running, numprocesses=2, numholes=1, memusage=77%
time 1494, 776 running, numprocesses=2, numholes=1, memusage=79%
time 1498, 837 running, numprocesses=2, numholes=1, memusage=77%
time 1502, 923 running, numprocesses=2, numholes=1, memusage=55%
time 1504, 616 running, numprocesses=3, numholes=1, memusage=80%
time 1506, 923 running, numprocesses=3, numholes=1, memusage=80%
time 1510, 484 running, numprocesses=2, numholes=1, memusage=67%
time 1512, 616 running, numprocesses=3, numholes=1, memusage=92%
time 1516, 850 running, numprocesses=3, numholes=2, memusage=59%
time 1518, 484 running, numprocesses=3, numholes=1, memusage=92%
time 1522, 850 running, numprocesses=3, numholes=2, memusage=59%
time 1526, 491 running, numprocesses=3, numholes=2, memusage=83%
time 1528, 491 running, numprocesses=3, numholes=2, memusage=83%
time 1531, 412 running, numprocesses=2, numholes=1, memusage=87%
time 1539, 387 running, numprocesses=2, numholes=1, memusage=99%
time 1541, 688 running, numprocesses=2, numholes=1, memusage=48%
time 1543, 387 running, numprocesses=2, numholes=1, memusage=99%
time 1547, 688 running, numprocesses=2, numholes=1, memusage=48%
time 1551, 83 running, numprocesses=3, numholes=1, memusage=84%
time 1553, 83 running, numprocesses=3, numholes=1, memusage=84%
time 1557, 891 running, numprocesses=3, numholes=2, memusage=76%
time 1565, 741 running, numprocesses=4, numholes=2, memusage=90%
time 1567, 741 running, numprocesses=4, numholes=2, memusage=90%
time 1571, 576 running, numprocesses=2, numholes=1, memusage=98%
time 1575, 974 running, numprocesses=2, numholes=1, memusage=17%
time 1583, 432 running, numprocesses=3, numholes=1, memusage=91%
time 1585, 432 running, numprocesses=3, numholes=1, memusage=91%
time 1588, 96 running, numprocesses=3, numholes=1, memusage=41%
time 1596, 139 running, numprocesses=4, numholes=1, memusage=90%
time 1597, 525 running, numprocesses=4, numholes=1, memusage=71%
time 1605, 712 running, numprocesses=4, numholes=1, memusage=94%
time 1607, 712 running, numprocesses=4, numholes=1, memusage=94%
time 1611, 177 running, numprocesses=4, numholes=1, memusage=59%
time 1619, 672 running, numprocesses=2, numholes=1, memusage=93%
time 1621, 672 running, numprocesses=2, numholes=1, memusage=93%
time 1625, 46 running, numprocesses=2, numholes=1, memusage=26%
time 1633, 844 running, numprocesses=3, numholes=1, memusage=99%
time 1635, 429 running, numprocesses=3, numholes=1, memusage=76%
time 1637, 844 running, numprocesses=3, numholes=1, memusage=99%
time 1641, 539 running, numprocesses=2, numholes=1, memusage=88%
time 1643, 429 running, numprocesses=2, numholes=1, memusage=51%
time 1647, 539 running, numprocesses=2, numholes=1, memusage=88%
time 1651, 410 running, numprocesses=2, numholes=1, memusage=42%
time 1653, 866 running, numprocesses=3, numholes=1, memusage=93%
time 1655, 410 running, numprocesses=3, numholes=1, memusage=93%
time 1659, 866 running, numprocesses=3, numholes=1, memusage=93%
time 1663, 981 running, numprocesses=3, numholes=1, memusage=54%
time 1665, 981 running, numprocesses=3, numholes=1, memusage=54%
time 1669, 687 running, numprocesses=4, numholes=1, memusage=59%
time 1677, 228 running, numprocesses=2, numholes=1, memusage=63%
time 1679, 228 running, numprocesses=2, numholes=1, memusage=63%
time 1683, 942 running, numprocesses=3, numholes=1, memusage=65%
time 1691, 256 running, numprocesses=3, numholes=2, memusage=48%
time 1693, 256 running, numprocesses=3, numholes=2, memusage=48%
time 1697, 28 running, numprocesses=4, numholes=2, memusage=55%
time 1705, 127 running, numprocesses=5, numholes=2, memusage=61%
time 1707, 127 running, numprocesses=5, numholes=2, memusage=61%
time 1711, 682 running, numprocesses=4, numholes=3, memusage=57%
time 1719, 357 running, numprocesses=5, numholes=3, memusage=64%
time 1721, 770 running, numprocesses=6, numholes=3, memusage=81%
time 1723, 87 running, numprocesses=6, numholes=3, memusage=61%
time 1725, 357 running, numprocesses=6, numholes=3, memusage=61%
time 1729, 770 running, numprocesses=6, numholes=3, memusage=61%
time 1733, 425 running, numprocesses=7, numholes=3, memusage=66%
time 1735, 87 running, numprocesses=7, numholes=3, memusage=66%
time 1739, 425 running, numprocesses=7, numholes=3, memusage=66%
time 1743, 233 running, numprocesses=2, numholes=1, memusage=81%
time 1751, 222 running, numprocesses=2, numholes=1, memusage=59%
time 1753, 350 running, numprocesses=2, numholes=1, memusage=53%
time 1755, 881 running, numprocesses=2, numholes=1, memusage=68%
time 1757, 134 running, numprocesses=3, numholes=1, memusage=92%
time 1759, 222 running, numprocesses=3, numholes=2, memusage=83%
time 1763, 1014 running, numprocesses=3, numholes=2, memusage=71%
time 1765, 350 running, numprocesses=3, numholes=2, memusage=77%
time 1769, 881 running, numprocesses=3, numholes=1, memusage=92%
time 1773, 299 running, numprocesses=3, numholes=2, memusage=83%
time 1775, 134 running, numprocesses=3, numholes=2, memusage=83%
